 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 84% 481504      0      0  481508  119783 2036871  2697039       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       4      0      0       0      0       0      0       0      0      0       0      0      0
 82% 480149      0      0  480156  120945 2057855  2704356      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       7      0      0       0      0       0      0       0      0      0       0      0      0
 80% 480939      0      0  480945  122049 2061410  2712036    2498       0      0    52s    74%    5%   0--0--0--0--0--0--0--0    0--0--0--0     15%       6      0      0       0      0       0      0       0      0      0       0      0      0
 80% 482436      0      0  482439  121638 2054581  2715948       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       3      0      0       0      0       0      0       0      0      0       0      0      0
 79% 476714      0      0  476714  121174 2054149  2670589     236       0      0    52s    74%    3%   1--0--0--0--0--0--0--0    0--0--1--0     15%       0      0      0       0      0       0      0       0      0      0       0      0      0
 81% 478494      0      0  478509  120195 2036697  2686961    7109       0      0    52s    74%    2%   0--0--0--0--0--0--0--0    0--0--0--0     15%      15      0      0       0      0       0      0       0      0      0       0      0      0
 82% 484621      0      0  484633  123139 2073760  2705830      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      12      0      0       0      0       0      0       0      0      0       0      0      0
 84% 480655      0      0  480661  121252 2059281  2694717      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       6      0      0       0      0       0      0       0      0      0       0      0      0
 82% 483859      0      0  484070  121975 2061680  2729630       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%     211      0      0       0      0       0      0       0      0      0       0      0      0
 81% 485565      0      0  485568  122455 2069624  2736966      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       3      0      0       0      0       0      0       0      0      0       0      0      0
 81% 486361      0      0  486361  124057 2081528  2730128       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       0      0      0       0      0       0      0       0      0      0       0      0      0
 81% 485139      0      0  485150  123871 2076757  2722561      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      11      0      0       0      0       0      0       0      0      0       0      0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 80% 482388      0      0  482397  122272 2063278  2695221    1754       0      0    52s    74%    5%   0--0--0--0--0--0--0--0    0--0--0--0     15%       9      0      0       0      0       0      0       0      0      0       0      0      0
 84% 481695      0      0  481697  122197 2059602  2700319       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       2      0      0       0      0       0      0       0      0      0       0      0      0
 85% 475834      0      0  475837  122682 2076043  2671944      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%       3      0      0       0      0       0      0       0      0      0       0      0      0
 81% 485573      0      0  485591  120868 2045229  2744336    7608       0      0    52s    74%    3%   0--0--0--0--0--0--0--0    0--0--0--0     16%      18      0      0       0      0       0      0       0      0      0       0      0      0
 81% 481025      0      0  481033  121965 2058789  2705842      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       8      0      0       0      0       0      0       0      0      0       0      0      0
 81% 478313      0      0  478325  122097 2061326  2689964      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      12      0      0       0      0       0      0       0      0      0       0      0      0
 83% 484658      0      0  484662  123229 2053984  2711332       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       4      0      0       0      0       0      0       0      0      0       0      0      0
 83% 482869      0      0  482894  126452 2065621  2700208      24       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      25      0      0       0      0       0      0       0      0      0       0      0      0
 86% 485950      0      0  485950  126399 2069878  2719597       0       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 85% 486885      0      0  486898  127558 2082890  2742768      12       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      13      0      0       0      0       0      0       0      0      0       0      0      0
 82% 477499      0      0  477505  127301 2077970  2696639    1701       0      0    53s    74%    7%   0--0--0--0--0--0--0--0    0--0--0--0     15%       6      0      0       0      0       0      0       0      0      0       0      0      0
 83% 482306      0      0  482559  122615 2026667  2704184       0       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%     253      0      0       0      0       0      0       0      0      0       0      0      0
 82% 482436      0      0  482439  122771 2059543  2700168      24       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       3      0      0       0      0       0      0       0      0      0       0      0      0
 80% 476914      0      0  476930  120497 2041363  2671748    7888       0      0    53s    74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     16%      16      0      0       0      0       0      0       0      0      0       0      0      0
 83% 486025      0      0  486036  123712 2079180  2712360      12       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      11      0      0       0      0       0      0       0      0      0       0      0      0
 85% 482204      0      0  482214  122315 2065525  2697255      24       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      10      0      0       0      0       0      0       0      0      0       0      0      0
 83% 477645      0      0  477645  121073 2039271  2690494       0       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 81% 481995      0      0  481995  122492 2060747  2715285      24       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 81% 476713      0      0  476716  121699 2053309  2673522       0       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       3      0      0       0      0       0      0       0      0      0       0      0      0
 81% 480056      0      0  480061  122205 2050693  2687704      12       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       5      0      0       0      0       0      0       0      0      0       0      0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 81% 477085      0      0  477091  121782 2034627  2665455      24       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       6      0      0       0      0       0      0       0      0      0       0      0      0
 84% 474431      0      0  474439  121821 2032700  2651345    1578       0      0    52s    74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     16%       8      0      0       0      0       0      0       0      0      0       0      0      0
 85% 477134      0      0  477134  123214 2055538  2682114      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 81% 473236      0      0  473250  119769 2014542  2681127    7552       0      0    52s    74%    7%   0--0--0--0--0--0--0--0    0--0--0--0     16%      14      0      0       0      0       0      0       0      0      0       0      0      0
 82% 479432      0      0  479441  122911 2045181  2696336      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       9      0      0       0      0       0      0       0      0      0       0      0      0
 81% 472498      0      0  472505  122014 2021985  2650577      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       7      0      0       0      0       0      0       0      0      0       0      0      0
 81% 473157      0      0  474668  121490 2027613  2646917       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%    1511      0      0       0      0       0      0       0      0      0       0      0      0
 78% 458587      0      0  458591  112640 1967474  2562096      24       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       4      0      0       0      0       0      0       0      0      0       0      0      0
 82% 466822      0      0  466822  114641 1987678  2607036       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 81% 455042      0      0  455049  114856 1989676  2553271      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       7      0      0       0      0       0      0       0      0      0       0      0      0
 46% 210431      0      0  210440   58515 1001020  1185534      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0      6%       9      0      0       0      0       0      0       0      0      0       0      0      0
 43% 187339      0      0  187341   48533 804755  1060583    1746       0      0    52s    74%    2%   0--0--0--0--0--0--0--0    0--0--0--0      6%       2      0      0       0      0       0      0       0      0      0       0      0      0
 46% 214376      0      0  214376   54145 888256  1208903      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0      7%       0      0      0       0      0       0      0       0      0      0       0      0      0
 50% 241598      0      0  241616   60789 1004184  1362861    7616       0      0    52s    74%    3%   0--0--0--0--0--0--0--0    0--0--0--0      7%      18      0      0       0      0       0      0       0      0      0       0      0      0
 62% 349247      0      0  349307   82718 1396700  1962254      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     11%      60      0      0       0      0       0      0       0      0      0       0      0      0
 81% 530102      0      0  530134  124890 2158616  2968028      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      32      0      0       0      0       0      0       0      0      0       0      0      0
 87% 584264      0      0  584291  144219 2514258  3258501       0       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     20%      27      0      0       0      0       0      0       0      0      0       0      0      0
 89% 563681      0      0  563729  138029 2426201  3146752      24       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     20%      48      0      0       0      0       0      0       0      0      0       0      0      0
 90% 574862      0      0  574886  136474 2441965  3225167       0       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     21%      24      0      0       0      0       0      0       0      0      0       0      0      0
 87% 579346      0      0  579378  138678 2475408  3258010      12       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     20%      32      0      0       0      0       0      0       0      0      0       0      0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 86% 568153      0      0  568188  136810 2433671  3192735      24       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     20%      35      0      0       0      0       0      0       0      0      0       0      0      0
 86% 559199      0      0  559462  136475 2418693  3128507    2274       0      0    54s    74%    5%   0--0--0--0--0--0--0--0    0--0--0--0     19%     263      0      0       0      0       0      0       0      0      0       0      0      0
 85% 523553      0      0  523577  130131 2284964  2925605      24       0      0    48s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     18%      24      0      0       0      0       0      0       0      0      0       0      0      0
 87% 508308      0      0  508338  124221 2168897  2850512    7088       0      0    48s    74%    7%   0--0--0--0--0--0--0--0    0--0--0--0     21%      30      0      0       0      0       0      0       0      0      0       0      0      0
 84% 496292      0      0  497198  126369 2191380  2798106      12       0      0    48s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%     906      0      0       0      0       0      0       0      0      0       0      0      0
 83% 505843      0      0  505863  122347 2091209  2842350      24       0      0    48s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     18%      20      0      0       0      0       0      0       0      0      0       0      0      0
 83% 507937      0      0  507955  125377 2165253  2857874       0       0      0    48s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      18      0      0       0      0       0      0       0      0      0       0      0      0
 83% 507782      0      0  507796  126977 2184673  2840400      24       0      0    48s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      14      0      0       0      0       0      0       0      0      0       0      0      0
 83% 508789      0      0  508802  125641 2158624  2844216       0       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      13      0      0       0      0       0      0       0      0      0       0      0      0
 86% 506642      0      0  506655  126642 2176828  2832555      12       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      13      0      0       0      0       0      0       0      0      0       0      0      0
 86% 483890      0      0  483896  122963 2079574  2716459      24       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%       6      0      0       0      0       0      0       0      0      0       0      0      0
 82% 481577      0      0  481577  121612 2050803  2713059    2454       0      0    53s    74%    5%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 82% 483690      0      0  483693  123483 2072579  2716851      32       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       3      0      0       0      0       0      0       0      0      0       0      0      0
 82% 480087      0      0  480102  122406 2054068  2699077    6757       0      0    53s    74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     16%      15      0      0       0      0       0      0       0      0      0       0      0      0
 82% 488861      0      0  488870  122945 2077710  2732420      12       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       9      0      0       0      0       0      0       0      0      0       0      0      0
 84% 481888      0      0  481897  124786 2080367  2692076      24       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       9      0      0       0      0       0      0       0      0      0       0      0      0
 86% 478653      0      0  478864  123776 2073314  2679242       0       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%     211      0      0       0      0       0      0       0      0      0       0      0      0
 84% 488234      0      0  488234  123369 2067472  2755245      24       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 82% 480613      0      0  480625  123451 2065036  2700704       0       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      12      0      0       0      0       0      0       0      0      0       0      0      0
 83% 488561      0      0  488571  124851 2079390  2743489      12       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      10      0      0       0      0       0      0       0      0      0       0      0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 83% 487068      0      0  487086  125472 2079874  2734877      24       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      18      0      0       0      0       0      0       0      0      0       0      0      0
 82% 482899      0      0  482903  123663 2066989  2699285       0       0      0    53s    74%    0%   1--0--0--0--0--0--0--0    1--0--0--0     16%       4      0      0       0      0       0      0       0      0      0       0      0      0
 84% 487703      0      0  487704  125330 2084165  2718176    2220       0      0    54s    74%    7%   0--0--0--0--0--0--0--0    0--0--0--0     16%       1      0      0       0      0       0      0       0      0      0       0      0      0
 86% 484801      0      0  484815  123978 2074684  2720563    7660       0      0    54s    74%    8%   0--0--0--0--0--0--0--0    0--0--0--0     18%      14      0      0       0      0       0      0       0      0      0       0      0      0
 85% 480855      0      0  480867  123186 2060352  2708867      12       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      12      0      0       0      0       0      0       0      0      0       0      0      0
 84% 480172      0      0  480181  123601 2047160  2696340      24       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       9      0      0       0      0       0      0       0      0      0       0      0      0
 83% 471708      0      0  471708  123129 2026279  2646837       0       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       0      0      0       0      0       0      0       0      0      0       0      0      0
 82% 462668      0      0  462695  122646 2014476  2585674      24       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      27      0      0       0      0       0      0       0      0      0       0      0      0
 83% 479734      0      0  479737  120306 2007423  2678422       0       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       3      0      0       0      0       0      0       0      0      0       0      0      0
 85% 470129      0      0  470137  122272 2012577  2627772      12       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       8      0      0       0      0       0      0       0      0      0       0      0      0
 86% 470511      0      0  470520  122391 2018459  2646066      24       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       9      0      0       0      0       0      0       0      0      0       0      0      0
 83% 470731      0      0  470976  123005 2008792  2650094       0       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%     245      0      0       0      0       0      0       0      0      0       0      0      0
 82% 470157      0      0  470159  123119 2010155  2645491    2294       0      0    53s    74%    7%   0--0--0--0--0--0--0--0    0--0--0--0     15%       2      0      0       0      0       0      0       0      0      0       0      0      0
 83% 467777      0      0  467800  123853 2020853  2623536    6913       0      0    53s    74%    9%   0--0--0--0--0--0--0--0    0--0--0--0     18%      23      0      0       0      0       0      0       0      0      0       0      0      0
 83% 469496      0      0  469500  122812 2005592  2622925      12       0      0    53s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       4      0      0       0      0       0      0       0      0      0       0      0      0
 82% 468250      0      0  468259  123258 2012865  2613657      24       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       9      0      0       0      0       0      0       0      0      0       0      0      0
 86% 472148      0      0  472151  121193 2004867  2638660       0       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       3      0      0       0      0       0      0       0      0      0       0      0      0
 85% 468901      0      0  468901  122211 2006955  2639693      24       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 82% 465013      0      0  465013  122677 2010475  2621199       0       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 79% 463068      0      0  463081  118823 2010777  2608104      12       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      13      0      0       0      0       0      0       0      0      0       0      0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 82% 480313      0      0  480319  121146 2008879  2684619      24       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       6      0      0       0      0       0      0       0      0      0       0      0      0
 83% 469698      0      0  469698  123965 2010158  2629263       0       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       0      0      0       0      0       0      0       0      0      0       0      0      0
 81% 462016      0      0  462024  121576 2001561  2582829    1930       0      0    54s    74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     15%       8      0      0       0      0       0      0       0      0      0       0      0      0
 85% 479012      0      0  479026  120963 2015893  2682663    7285       0      0    54s    74%   10%   0--0--0--0--0--0--0--0    0--0--0--0     16%      14      0      0       0      0       0      0       0      0      0       0      0      0
 85% 469361      0      0  469366  121937 2009056  2637822      12       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       5      0      0       0      0       0      0       0      0      0       0      0      0
 81% 458317      0      0  458328  148076 2447952  2579744      24       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      11      0      0       0      0       0      0       0      0      0       0      0      0
 81% 478454      0      0  478677  118340 2043048  2685590       0       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%     223      0      0       0      0       0      0       0      0      0       0      0      0
 81% 469131      0      0  469131  116946 2004547  2634294      24       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 82% 472451      0      0  472455  121605 2008620  2639780       0       0      0    54s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       4      0      0       0      0       0      0       0      0      0       0      0      0
 83% 471474      0      0  471478  123887 2029144  2630008      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       4      0      0       0      0       0      0       0      0      0       0      0      0
 86% 469485      0      0  469499  120929 2002474  2628767      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      14      0      0       0      0       0      0       0      0      0       0      0      0

Last login time: 12/21/2024 13:34:42

